/*
*********************************************************************************************************
*
*	                    【安富莱】STM32-V5开发板CPU的原始引脚定义（供查阅复用功能用）
 74 PE11/FSMC_D8/TIM1_CH2
 75 PE12/FSMC_D9/TIM1_CH3N
 76 PE13/FSMC_D10/TIM1_CH3
 77 PE14/FSMC_D11/TIM1_CH4
 78 PE15/FSMC_D12/TIM1_BKIN
 79 PB10/SPI2_SCK/I2S2_CK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3
 80 PB11/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4
 81 VCAP_1
 82 VDD
 83 PH6/I2C2_SMBA/TIM12_CH1/ETH_MII_RXD2
 84 PH7/I2C3_SCL/ETH_MII_RXD3
 85 PH8/I2C3_SDA/DCMI_HSYNC
 86 PH9/I2C3_SMBA/TIM12_CH2/DCMI_D0
 87 PH10/TIM5_CH1/DCMI_D1
 88 PH11/TIM5_CH2/DCMI_D2

 89 PH12/TIM5_CH3/DCMI_D3
 90 VSS
 91 VDD
 92 PB12/SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID
 93 PB13/SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1[OTG_HS_VBUS]
 94 PB14/SPI2_MISO/TIM1_CH2N/TIM12_CH1/OTG_HS_DM/USART3_RTS/TIM8_CH2N/I2S2ext_SD
 95 PB15/SPI2_MOSI/I2S2_SD/TIM1_CH3N/TIM8_CH3N/TIM12_CH2/OTG_HS_DP
 96 PD8/FSMC_D13/USART3_TX
 97 PD9/FSMC_D14/USART3_RX
 98 PD10/FSMC_D15/USART3_CK
 99 PD11/FSMC_CLE/FSMC_A16/USART3_CTS
100 PD12/FSMC_ALE/FSMC_A17/TIM4_CH1/USART3_RTS
101 PD13/FSMC_A18/TIM4_CH2
102 VSS
103 VDD
104 PD14/FSMC_D0/TIM4_CH3
105 PD15/FSMC_D1/TIM4_CH4
106 PG2/FSMC_A12
107 PG3/FSMC_A13
108 PG4/FSMC_A14
109 PG5/FSMC_A15
110 PG6/FSMC_INT2
111 PG7/FSMC_INT3/USART6_CK
112 PG8/USART6_RTS/ETH_PPS_OUT
113 VSS
114 VDD
115 PC6/I2S2_MCK/TIM8_CH1/SDIO_D6/USART6_TX/DCMI_D0/TIM3_CH1
116 PC7/I2S3_MCK/TIM8_CH2/SDIO_D7/USART6_RX/DCMI_D1/TIM3_CH2
117 PC8/TIM8_CH3/SDIO_D0/TIM3_CH3/USART6_CK/DCMI_D2
118 PC9/I2S_CKIN/MCO2/TIM8_CH4/SDIO_D1/I2C3_SDA/DCMI_D3/TIM3_CH4
119 PA8/MCO1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF
120 PA9/USART1_TX/TIM1_CH2/I2C3_SMBA/DCMI_D0[OTG_FS_VBUS]
121 PA10/USART1_RX/TIM1_CH3/OTG_FS_ID/DCMI_D1
122 PA11/USART1_CTS/CAN1_RX/TIM1_CH4/OTG_FS_DM
123 PA12/USART1_RTS/CAN1_TX/TIM1_ETR/OTG_FS_DP
124 PA13(JTMS-SWDIO)/JTMS-SWDIO
125 VCAP_2
126 VSS
127 VDD
128 PH13/TIM8_CH1N/CAN1_TX
129 PH14/TIM8_CH2N/DCMI_D4
130 PH15/TIM8_CH3N/DCMI_D11
131 PI0/TIM5_CH4/SPI2_NSS/I2S2_WS/DCMI_D13
132 PI1/SPI2_SCK/I2S2_CK/DCMI_D8

133 PI2/TIM8_CH4/SPI2_MISO/DCMI_D9/I2S2ext_SD
134 PI3/TIM8_ETR/SPI2_MOSI/I2S2_SD/DCMI_D10
135 VSS
136 VDD
137 PA14(JTCK-SWCLK)/JTCK-SWCLK
138 PA15(JTDI)/JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1_ETR/SPI1_NSS
139 PC10/SPI3_SCK/I2S3_CK/UART4_TX/SDIO_D2/DCMI_D8/USART3_TX
140 PC11/UART4_RX/SPI3_MISO/SDIO_D3/DCMI_D4/USART3_RX/I2S3ext_SD
141 PC12/UART5_TX/SDIO_CK/DCMI_D9/SPI3_MOSI/I2S3_SD/USART3_CK
142 PD0/FSMC_D2/CAN1_RX
143 PD1/FSMC_D3/CAN1_TX
144 PD2/TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11
145 PD3/FSMC_CLK/USART2_CTS
146 PD4/FSMC_NOE/USART2_RTS
147 PD5/FSMC_NWE/USART2_TX
148 VSS
149 VDD
150 PD6/FSMC_NWAIT/USART2_RX
151 PD7/USART2_CK/FSMC_NE1/FSMC_NCE2
152 PG9/USART6_RX/FSMC_NE2/FSMC_NCE3
153 PG10/FSMC_NCE4_1/FSMC_NE3
154 PG11/FSMC_NCE4_2/ETH_MII_TX_EN/ETH_RMII_TX_EN
155 PG12/FSMC_NE4/USART6_RTS
156 PG13/FSMC_A24/USART6_CTS/ETH_MII_TXD0/ETH_RMII_TXD0
157 PG14/FSMC_A25/USART6_TX/ETH_MII_TXD1/ETH_RMII_TXD1
158 VSS
159 VDD
160 PG15/USART6_CTS/DCMI_D13
161 PB3(JTDO/TRACESWO)/JTDO/TRACESWO/SPI3_SCK/I2S3_CK/TIM2_CH2/SPI1_SCK
162 PB4(NJTRST)/NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2S3ext_SD
163 PB5/I2C1_SMBA/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/DCMI_D10/I2S3_SD
164 PB6/I2C1_SCL/TIM4_CH1/CAN2_TX/DCMI_D5/USART1_TX
165 PB7/I2C1_SDA/FSMC_NL/DCMI_VSYNC/USART1_RX/TIM4_CH2
166 BOOT0
167 PB8/TIM4_CH3/SDIO_D4/TIM10_CH1/DCMI_D6/ETH_MII_TXD3/I2C1_SCL/CAN1_RX
168 PB9/SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/DCMI_D7/I2C1_SDA/CAN1_TX
169 PE0/TIM4_ETR/FSMC_NBL0/DCMI_D2
170 PE1/FSMC_NBL1/DCMI_D3
171 PDR_ON
172 VDD
173 PI4/TIM8_BKIN/DCMI_D5
174 PI5/TIM8_CH1/DCMI_VSYNC
175 PI6/TIM8_CH2/DCMI_D6
176 PI7/TIM8_CH3/DCMI_D7

=== 结束 ====

【其中OTG_HS_ULPI 高速USB2.0接口,需要占用12个GPIO】
 13 PI11/OTG_HS_ULPI_DIR   ----有2个----
 32 PC0/OTG_HS_ULPI_STP[ADC123_IN10]
 34 PC2/SPI2_MISO/OTG_HS_ULPI_DIR/ETH_MII_TXD2/I2S2ext_SD[ADC123_IN12] ----有2个----
 45 PH4/I2C2_SCL/OTG_HS_ULPI_NXT
 47 PA3/USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL[ADC123_IN3]
 51 PA5/SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CHIN[ADC12_IN5/DAC2_OUT]
 56 PB0/TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N[ADC12_IN8]
 57 PB1/TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/OTG_HS_INTN/TIM1_CH3N[ADC12_IN9]
 79 PB10/SPI2_SCK/I2S2_CK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3
 80 PB11/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4
 92 PB12/SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID
 93 PB13/SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1[OTG_HS_VBUS]
